FROM,TO
AP4M1,APP
APBA1,LRP8
APBA1,PSEN1
APBA1,APP
APBA2,APP
APBA2,PSEN1
APBB1,APLP1
APBB1,LRP1
APBB1,APLP2
APBB1,NOTCH1
APBB1,APP
APBB1,LRP8
APBB1,KAT5
APBB1,APBB2
APBB2,APLP1
APBB2,APLP2
APBB2,APP
APH1A,APP
APH1A,NCSTN
APH1A,PSEN1
APH1A,PSENEN
APLP1,DAB1
APLP1,APLP2
APLP1,PRNP
APLP1,CNTN4
APLP1,APP
APLP2,MAPK8IP1
APLP2,KAT5
APLP2,DAB1
APLP2,APP
APOA1,GPC1
APOA1,APOA4
APOA1,APP
APOA1,CLU
APOA1,APOE
APOA4,APOE
APOA4,GPC1
APOA4,APP
APOA4,CLU
APOE,LRP1
APOE,GPC1
APOE,TOMM40
APOE,RELN
APOE,CLU
APOE,LRP8
APOE,SORL1
APOE,APP
APP,RTN4R
APP,NGFR
APP,NTN1
APP,MAPK8IP1
APP,LRP1
APP,GSAP
APP,SORL1
APP,EP300
APP,GPC1
APP,IDE
APP,NOTCH1
APP,LRP8
APP,ITGB1
APP,CASP3
APP,CNTN4
APP,TGFB2
APP,NTRK1
APP,PSENEN
APP,GULP1
APP,F11
APP,DAB1
APP,CLU
APP,CNTN2
APP,RELN
APP,KLC1
APP,ITM2B
APP,KLK6
APP,TOMM40
APP,GRB2
APP,SPON1
APP,NAE1
APP,SHC1
APP,PITRM1
APP,PRNP
APP,KAT5
APP,BACE1
APP,PSEN1
APP,TNFRSF21
APP,NCSTN
BACE1,SORL1
BACE1,NCSTN
BACE1,ITM2B
BACE1,PRNP
BACE1,PSEN1
CLU,LRP8
CLU,PRNP
CNTN2,EP300
DAB1,LRP1
DAB1,NOTCH1
DAB1,LRP8
DAB1,ITGB1
DAB1,RELN
EP300,KAT5
EP300,RBPJ
EP300,MAML1
EP300,NOTCH1
EP300,TP53
GPC1,PRNP
GRB2,NGFR
GRB2,PSEN1
GRB2,PRNP
GRB2,NTRK1
GRB2,ITGB1
GRB2,SHC1
GSAP,NCSTN
GSAP,PSEN1
GULP1,LRP1
ITGA5,ITGB1
ITGB1,LRP1
ITGB1,SHC1
ITM2B,NTRK1
KAT5,LRP1
KAT5,TP53
KAT5,NOTCH1
KLC1,MAPK8IP1
LRP1,MAPK8IP1
LRP1,SORL1
LRP1,PRNP
LRP1,SHC1
LRP8,MAPK8IP1
LRP8,NOTCH1
LRP8,SPON1
LRP8,RELN
MAML1,TP53
MAML1,NOTCH1
MAML1,RBPJ
NCSTN,NOTCH1
NCSTN,PSEN1
NCSTN,PSENEN
NGFR,RTN4R
NGFR,TNFRSF21
NGFR,NTRK1
NGFR,SHC1
NOTCH1,PSEN1
NOTCH1,RBPJ
NTRK1,PSEN1
NTRK1,SHC1
PSEN1,PSENEN
RBPJ,TP53
SHC1,TP53
TOMM22,TOMM40
